[2026-09-13 21:25:41 TP0 EP0] Decode batch, #running-req: 1, #full token: 97024, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 686.34, #queue-req: 0
[2026-09-13 21:25:42 TP0 EP0] Decode batch, #running-req: 1, #full token: 97280, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.25, #queue-req: 0
[2026-09-13 21:25:42 TP0 EP0] Decode batch, #running-req: 1, #full token: 97280, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.29, #queue-req: 0
[2026-09-13 21:25:42 TP0 EP0] Decode batch, #running-req: 1, #full token: 97536, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.64, #queue-req: 0
[2026-09-13 21:25:43 TP0 EP0] Decode batch, #running-req: 1, #full token: 97792, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.44, #queue-req: 0
[2026-09-13 21:25:43 TP0 EP0] Decode batch, #running-req: 1, #full token: 98048, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.93, #queue-req: 0
[2026-09-13 21:25:43 TP0 EP0] Decode batch, #running-req: 1, #full token: 98304, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.68, #queue-req: 0
[2026-09-13 21:25:44 TP0 EP0] Decode batch, #running-req: 1, #full token: 98560, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 686.91, #queue-req: 0
[2026-09-13 21:25:44 TP0 EP0] Decode batch, #running-req: 1, #full token: 98816, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.63, #queue-req: 0
[2026-09-13 21:25:44 TP0 EP0] Decode batch, #running-req: 1, #full token: 99072, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.57, #queue-req: 0
